 DATE ,MAXATTR, MAXFOWARD, MAXBACKWARD, GAP, MINSUPPORT, MAXNODES, EFGS, NODES, NUMATTR, ATTRBERN, EDGEBERN, NODES/EFG, P1, P2, P3, EDGE WEIGHT, P1, P2, P3, NODE WEIGHT, P1, P2, P3, ATTR WEIGHT, P1, P2, P3, TIME, NUMEDGES, TOTALSUBGRAPHS, HOTSUBGRAPHS, 0-EDGE, 1-EDGE, 2-EDGE, 3-EDGE, 4-EDGE, 5-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:27:09,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,134,24,208,28,7,11,10,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:53:27,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,147,24,895,44,7,13,24,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:53:31,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,169,24,1949,77,7,31,39,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2015 03:42:51,1,7,10,8,0,24,3,73,11,0.708864675,0.338339245,G,3.196557023,68,54,G,1.800999862,66,22,U,63,87,0,E,9.151637725,0,0,203,493,0,11,11,,,,,,24.33333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:37:40,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,208,24,1131,51,7,16,28,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2015 11:22:00,1,9,1,1,0,46,8,82,32,0.440173607,0.418690538,G,0.14873146,27,52,U,96,100,0,E,5.690790043,0,0,G,0.713339805,87,30,275,821,0,32,32,,,,,,10.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2015 10:58:30,2,4,0,1,0,22,8,14,42,0.568522153,0.27736289,G,3.995639345,75,90,G,1.864035402,85,64,E,9.070554446,0,0,G,2.85642807,100,24,1295,16,1764,2334,895,1439,,,,,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2015 11:21:56,2,9,8,1,0,49,5,71,37,0.409220944,0.538324685,U,63,99,0,E,4.805118535,0,0,G,2.912613067,80,53,U,48,86,0,1679,385,1369,2072,703,1369,,,,,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:10:54,5,9,7,6,0,20,2,6,26,0.16174558,0.00746051,g,2.40885328,18,21,g,39565662,4,23,U,48,76,0,E,5.86166253,0,0,1250,10,59366,1291,193,333,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:10:50,5,9,7,6,0,20,2,6,26,0.16174558,0.00746051,g,2.40885328,18,21,g,39565662,4,23,U,48,76,0,E,5.86166253,0,0,4230,12,305878,6981,597,2324,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
